Age_Group,Education_Level,Profession,Industry,AI_Exposure_Level,Uses_AI_At_Work,Job_Replacement_Fear_Level,Perceived_AI_Threat,Actual_Job_Automation_Risk,Skill_Upgrade_Effort,Confidence_In_Career_Future,Belief_AI_Creates_New_Jobs,Willingness_To_Reskill
35-44,Postgraduate,Other,Healthcare,High,Yes,4,Moderate,Medium,Occasional,3,No,Low
45+,High School,Student,Finance,Low,Yes,5,Moderate,High,Regular,3,Unsure,High
18-24,High School,Student,Healthcare,High,Yes,5,Moderate,Medium,Occasional,2,Yes,Medium
35-44,PhD,Student,Tech,Low,No,5,High,Low,None,1,Yes,High
35-44,Postgraduate,Manager,Healthcare,Medium,Yes,2,Low,High,Regular,1,Unsure,Medium
45+,High School,Freelancer,Healthcare,Low,Yes,3,High,Medium,Regular,5,Unsure,Low
18-24,PhD,Manager,Education,High,No,5,Moderate,Low,None,3,Unsure,High
18-24,Postgraduate,Freelancer,Healthcare,High,No,5,High,Medium,Regular,1,No,Low
35-44,PhD,Manager,Healthcare,High,No,2,Low,High,Occasional,1,Yes,Medium
25-34,Undergraduate,Manager,Manufacturing,Medium,Yes,2,Low,High,Occasional,4,Unsure,Medium
35-44,High School,Other,Tech,Medium,Yes,5,Moderate,Low,None,4,No,Medium
35-44,Undergraduate,Non-IT,Education,High,No,1,Moderate,Low,Occasional,1,Yes,Low
35-44,Postgraduate,Manager,Manufacturing,Low,No,5,High,Low,None,5,No,Medium
35-44,Undergraduate,Other,Marketing,Medium,No,5,Moderate,Medium,None,1,Yes,Low
45+,Undergraduate,IT,Tech,High,No,2,Moderate,Medium,Occasional,2,No,High
18-24,Postgraduate,Non-IT,Tech,High,No,2,Low,Medium,None,3,Yes,Medium
45+,PhD,Manager,Marketing,Medium,No,5,Moderate,Low,Occasional,5,Yes,Medium
45+,Undergraduate,Student,Healthcare,Medium,Yes,5,Moderate,High,Regular,2,No,Medium
45+,PhD,IT,Manufacturing,Medium,Yes,5,Low,High,Regular,5,Unsure,High
35-44,Undergraduate,IT,Finance,Low,Yes,2,Low,Medium,None,2,Yes,Medium
25-34,PhD,Other,Education,Low,No,5,High,Medium,Occasional,3,Unsure,Low
18-24,Postgraduate,IT,Finance,High,No,5,Moderate,High,Occasional,3,No,Low
25-34,Undergraduate,Non-IT,Marketing,Medium,No,4,Low,High,Regular,4,Unsure,Medium
45+,Postgraduate,Manager,Tech,Low,No,1,High,Medium,Regular,2,Unsure,Medium
45+,Undergraduate,Manager,Tech,Medium,No,3,High,Medium,Occasional,4,Unsure,High
25-34,Postgraduate,Student,Education,High,No,1,Moderate,High,None,2,Unsure,High
25-34,Postgraduate,Other,Tech,Low,Yes,4,Moderate,Low,Regular,4,Unsure,High
25-34,Undergraduate,Student,Tech,Low,Yes,3,High,Medium,None,3,Yes,Medium
45+,Undergraduate,IT,Education,Low,No,5,Low,High,None,5,Yes,High
45+,Undergraduate,Student,Manufacturing,High,Yes,4,High,High,Regular,4,Yes,High
18-24,High School,Non-IT,Manufacturing,Medium,No,5,Moderate,High,None,2,No,Low
18-24,PhD,Manager,Education,Low,Yes,2,Low,High,None,2,Unsure,High
45+,High School,IT,Marketing,High,No,4,Low,Low,Occasional,3,Yes,Low
25-34,High School,Student,Tech,Medium,No,2,High,High,None,2,No,Low
25-34,Postgraduate,Other,Tech,High,Yes,4,Moderate,Medium,Occasional,1,Yes,High
18-24,Undergraduate,Non-IT,Marketing,Medium,Yes,4,High,Low,Regular,5,Yes,Low
45+,PhD,Non-IT,Manufacturing,High,No,2,High,High,Regular,4,Unsure,Medium
18-24,Postgraduate,Student,Healthcare,Medium,No,3,High,Low,Occasional,5,No,Medium
18-24,High School,Manager,Healthcare,Low,Yes,1,Low,Medium,Regular,3,Unsure,High
35-44,Undergraduate,Student,Healthcare,Medium,Yes,5,Low,High,None,4,Unsure,Medium
35-44,Postgraduate,IT,Manufacturing,High,No,4,Moderate,Medium,None,4,Yes,Low
35-44,Undergraduate,Student,Manufacturing,High,Yes,5,Moderate,High,None,1,Unsure,Medium
25-34,Postgraduate,Non-IT,Marketing,Medium,No,2,High,High,Regular,3,No,High
45+,Undergraduate,Student,Tech,Low,No,5,High,High,None,2,Unsure,High
45+,High School,Manager,Marketing,Low,No,2,High,High,Regular,1,Unsure,Low
45+,PhD,Other,Marketing,Medium,No,5,Moderate,High,None,1,Unsure,High
45+,High School,Freelancer,Manufacturing,Medium,Yes,1,Low,Low,Occasional,5,Yes,Medium
35-44,PhD,Student,Healthcare,High,Yes,1,Low,High,Regular,5,No,High
25-34,Undergraduate,Manager,Finance,Low,Yes,1,High,High,Regular,5,Yes,Low
25-34,Postgraduate,Manager,Tech,Medium,Yes,1,High,Low,None,1,Yes,High
35-44,High School,Other,Manufacturing,Low,Yes,1,High,Low,Regular,2,Yes,Medium
25-34,PhD,Non-IT,Healthcare,Medium,Yes,1,High,Low,Regular,4,Yes,Low
35-44,High School,Manager,Finance,Medium,Yes,2,Moderate,Low,Occasional,5,Yes,Medium
45+,PhD,Manager,Finance,Low,No,4,Low,Low,Occasional,2,No,Low
35-44,High School,Manager,Manufacturing,Medium,Yes,5,High,Low,None,3,Unsure,High
45+,PhD,Manager,Education,Medium,Yes,1,Moderate,High,Occasional,5,Yes,Low
45+,PhD,IT,Tech,High,No,2,High,High,None,4,Yes,Low
18-24,Undergraduate,IT,Finance,Medium,Yes,2,High,Medium,None,3,No,High
35-44,PhD,Non-IT,Manufacturing,Medium,Yes,2,Low,High,None,3,No,Medium
18-24,Undergraduate,Student,Manufacturing,Medium,No,4,High,High,Regular,4,Unsure,High
35-44,PhD,Manager,Healthcare,High,Yes,5,Low,Low,Occasional,5,No,Low
